"refseq_mrna","ensembl_gene_id","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"NM_001282458","ENSG00000226560",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282458","ENSG00000206372",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282458","ENSG00000235696",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282458","ENSG00000204364",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282458","ENSG00000231543",9.81253486370671,-2.98359004746622,1.12750077852558,-2.64619777147102,0.00814022091594033,0.0952094293278803
"NM_001282735","ENSG00000196141",1945.91901560666,-1.69068789365867,0.135249146111099,-12.5005439388865,7.41422386632591e-36,1.74579228219106e-33
"NM_001282743","ENSG00000196141",1874.22232273878,-1.67462968933255,0.137247734846745,-12.2015105837811,3.05110569727882e-34,6.71778187517098e-32
"NM_001282744","ENSG00000196141",1947.94149608837,-1.68893127844058,0.137311177415938,-12.300027646872,9.05431430884415e-35,2.03314327993363e-32
"NM_001282862","ENSG00000198915",15.2284026221216,-1.5359820041631,0.6231946064644,-2.46469078555937,0.0137131536591625,0.136030789206373
"NM_001282881","ENSG00000176406",14.6272331248729,-1.86890293447588,0.874603967927947,-2.1368562263713,0.0326096872797948,0.243326663311454
"NM_001282920","ENSG00000157601",29109.6315109957,-7.49976776117985,0.775308209610136,-9.67327272975881,3.9164903557199e-22,5.90206393295087e-20
"NM_001284230","ENSG00000006432",7.99790650981903,2.27447807136998,0.987587112273049,2.30306576817816,0.0212751429765816,0.182112047186359
"NM_001284514","ENSG00000161405",9.89185549035713,1.52088350883173,1.1070914378562,1.37376503586443,0.169514639036551,0.589269890654318
"NM_001284515","ENSG00000161405",9.89185549035713,1.52088350883173,1.1070914378562,1.37376503586443,0.169514639036551,0.589269890654318
"NM_001285485","ENSG00000163121",51.3814862893868,-5.31952321535296,0.750673782365034,-7.08633142693961,1.37713781421337e-12,1.07591271581872e-10
"NM_001285486","ENSG00000163121",54.0655655115713,-4.34844257548449,1.35043500453871,-3.22003099806337,0.0012817673608524,0.0220837834880194
"NM_001286072","ENSG00000155363",1902.57764242937,-1.64585687999889,0.119771727270229,-13.7416142983854,5.71863274822807e-43,1.62942588734596e-40
"NM_001286113","ENSG00000130775",418.189520168109,-2.48404708797409,0.35996762952958,-6.90075130149993,5.17282247056872e-12,3.83542292393287e-10
"NM_001286115","ENSG00000130775",393.997907939236,-2.50546361522285,0.361484504389936,-6.93104015468444,4.17757439061506e-12,3.12002235380143e-10
"NM_001286352","ENSG00000116774",91.4553119046041,-1.61252937390034,0.466580609807536,-3.45605741002719,0.000548138561591243,0.0108752101860002
"NM_001286353","ENSG00000116774",91.4650657539752,-1.61187326629321,0.459252931149649,-3.50977240854664,0.000448490395716676,0.0091829491833124
"NM_001286656","ENSG00000171462",7.70471072958038,1.77721731487322,0.781453085497166,2.27424697381871,0.02295114138918,0.190409677289681
"NM_001286754","ENSG00000172403",57.9895146336958,-1.97358244190115,0.407008992143548,-4.84898977663149,1.24091815738108e-06,4.84186558829921e-05
"NM_001286755","ENSG00000172403",7.929443417229,-2.40621749035568,1.00709059041399,-2.38927611205914,0.0168816096863564,0.155756391737492
"NM_001288591","ENSG00000196345",15.9251555665538,-1.62405439847662,0.609984478556442,-2.66245200586091,0.00775736312387766,0.0918076479725374
"NM_001288591","ENSG00000281894",15.9251555665538,-1.62405439847662,0.609984478556442,-2.66245200586091,0.00775736312387766,0.0918076479725374
"NM_001288954","ENSG00000275214",18145.5324059233,-5.62897647264588,0.326214813288802,-17.2554287645499,1.01862764409037e-66,5.75643458802872e-64
"NM_001288954","ENSG00000165949",18145.5324059233,-5.62897647264588,0.326214813288802,-17.2554287645499,1.01862764409037e-66,5.75643458802872e-64
"NM_001288957","ENSG00000275214",13039.9382863057,-5.595692135362,0.317751824480089,-17.6102596563144,2.05500207979659e-69,1.36625402979732e-66
"NM_001288957","ENSG00000165949",13039.9382863057,-5.595692135362,0.317751824480089,-17.6102596563144,2.05500207979659e-69,1.36625402979732e-66
"NM_001288958","ENSG00000275214",15607.9875536478,-5.60349092532165,0.321918696107435,-17.406540822505,7.35987948484795e-68,4.62132284616184e-65
"NM_001288958","ENSG00000165949",15607.9875536478,-5.60349092532165,0.321918696107435,-17.406540822505,7.35987948484795e-68,4.62132284616184e-65
"NM_001288960","ENSG00000275214",14966.2815482735,-5.6695625778926,0.319455154116576,-17.7476008911838,1.79875740538755e-70,1.24470341519338e-67
"NM_001288960","ENSG00000165949",14966.2815482735,-5.6695625778926,0.319455154116576,-17.7476008911838,1.79875740538755e-70,1.24470341519338e-67
"NM_001288995","ENSG00000275214",17459.2463102394,-5.60760250482287,0.324386477103767,-17.2867949209519,5.9151026053708e-67,3.45798938000531e-64
"NM_001288995","ENSG00000165949",17459.2463102394,-5.60760250482287,0.324386477103767,-17.2867949209519,5.9151026053708e-67,3.45798938000531e-64
